26620376,6712211,54,461.61,3,1497
29464317,7354669,84,516.39,3,1723
17088812,4535788,230,332.39,9,808
145019,48725,7,4.02,0,1
49231421,12598543,98,874.10,1,3394
51136918,12906805,68,912.54,1,3535
12120428,2934359,55,216.83,2,597
1426192,189356,18,27.09,4,7
1495059,227312,61,28.83,2,7
17751747,4718152,97,316.43,2,860
144108,48474,7,4.02,1,1
5770716,1168754,65,99.49,8,292
8273070,1897369,61,144.55,2,410
1408174,180935,17,26.86,0,7
9856832,2284254,95,174.53,6,475
1430452,184724,17,27.01,3,7
5573016,1084772,114,96.18,3,292
49975526,12877504,252,925.83,1,3427
74795551,18040461,1087,1332.80,1,5730
1427751,190228,29,27.09,3,7
1413812,184257,15,27.65,1,7
4543929,845389,44,76.64,1,227
1431682,185164,16,27.07,3,7
1448032,198844,30,27.11,6,7
1448379,197387,35,27.74,6,7
1444764,192151,16,27.74,2,7
1460928,204426,36,27.93,5,7
1459942,205607,39,28.18,5,7
46060320,11605805,258,862.76,5,3116
42171398,10640221,89,747.88,1,2794
1467317,209294,33,28.18,4,7
1445100,200706,26,27.63,1,7
34001410,8419589,257,626.44,6,2127
1438606,205262,28,27.99,3,7
2174071,315326,38,37.34,0,75
35988649,9289775,333,638.14,4,2282
1438182,195108,15,27.83,0,7
33749228,8618502,87,589.41,8,2148
3826975,671108,43,64.04,1,190
1427558,179888,14,26.41,2,7
10393371,2450397,156,184.25,1,513
1454969,204774,31,27.88,3,7
70248755,17372976,618,1227.82,5,5237
1424187,184138,16,26.92,3,7
1447661,198299,35,27.48,2,7
1448774,195395,25,27.62,5,7
21636347,5397184,141,389.31,4,1106
1447560,200668,23,27.93,4,7
27152570,6869365,128,472.74,2,1510
1465481,204912,38,27.72,3,7
1437960,187908,15,27.97,3,7
1417645,195216,13,26.95,1,7
22971854,5820096,188,426.33,4,1243
4847137,952309,77,84.69,3,254
71755221,16971080,492,1274.84,2,5370
9964549,2294499,51,174.76,2,487
70161094,16477350,172,1213.44,6,5324
3619049,605031,37,59.53,2,186
23230247,5864449,76,403.81,3,1338
144121,49091,7,4.04,0,0
44936101,11226487,268,797.86,3,3035
50180123,12340496,92,882.25,3,3479
1487373,229673,60,28.04,2,7
20481093,5031474,83,354.62,4,1007
28337033,7054808,90,493.96,3,1582
26563954,6684193,55,461.39,4,1493
58111853,14963916,520,1057.22,1,4235
59359162,14558173,233,1077.49,4,4341
42651857,10727576,149,754.05,2,2840
42689235,10823210,281,757.00,2,2831
6722057,1493136,58,116.31,1,310
20228776,5177734,76,351.05,3,1005
34898117,8874533,109,612.40,3,2246
43331878,10844270,138,767.88,3,2906
9473824,2266477,77,167.31,3,467
47103161,11805191,112,849.87,3,3229
1438082,205130,19,28.04,2,7
50664585,12496733,229,919.24,5,3485
17971005,4842108,308,323.51,1,853
1442327,194722,29,27.83,3,7
1424268,186375,16,27.73,4,7
23225760,5684760,75,401.00,4,1343
1392627,175881,12,26.43,3,7
1416922,183162,16,26.94,1,7
20783848,5050114,47,354.69,4,1058
13178575,3218176,48,231.79,4,607
149091,51162,9,4.21,0,1
12497017,2941478,54,218.86,3,605
30718348,7629226,84,538.77,5,1846
1440259,189502,23,27.74,3,7
1426384,182057,19,26.64,1,7
4135823,727050,53,70.23,6,213
29680688,7292706,70,517.66,0,1725
1357999,162427,16,23.58,1,3
1327241,147376,15,24.18,1,4
7453279,1705383,78,129.96,4,361
41405557,10610624,102,732.29,2,2724
8031905,1859642,53,142.31,2,397
20997733,5162738,88,378.94,3,1053
2640998,380533,96,42.63,4,128
27427772,6723950,112,473.35,3,1532
59453400,14551409,291,1039.39,3,4383
16090800,4143984,73,280.16,2,732
8586461,1906137,57,150.77,3,426
29944276,7517653,119,554.50,1,1715
1298919,140270,13,24.59,0,3
38733801,9628260,71,677.86,3,2454
34242455,8429424,95,595.73,2,2230
9349922,2119067,45,162.57,6,458
7192042,1684558,61,127.74,1,347
36798461,9310615,371,649.32,6,2313
31797256,7891762,75,557.97,3,1952
23450819,5821065,100,417.72,1,1345
43327831,11305628,181,788.60,4,2895
16665575,4326725,70,306.85,3,795
1334451,154679,33,25.83,0,4
1320554,145364,23,24.62,3,3
1128078,75493,12,18.72,1,0
1315951,145251,22,24.99,3,3
58873596,14407517,195,1033.56,3,4286
56904257,14173987,133,1028.85,0,4218
32279045,8213233,188,613.95,2,1961
44648112,11034300,96,783.77,3,3037
1329727,149618,26,24.69,3,3
42471970,11032522,132,775.40,0,2829
26160885,6730009,47,456.62,2,1474
1326994,149750,33,24.62,1,3
1312536,134284,13,23.69,1,3
5927480,1206209,67,102.55,2,290
1273666,133187,30,23.04,2,12
1322472,142415,18,24.53,3,4
48591300,12319801,146,869.93,3,3334
