function_name,latency,arch
compose-post,98.94371032714844,RISCV
compose-post,100.85105895996094,RISCV
compose-post,97.99003601074219,RISCV
compose-post,100.37422180175781,RISCV
compose-post,95.84426879882812,RISCV
compose-post,102.04315185546875,RISCV
compose-post,103.95050048828125,RISCV
compose-post,106.33468627929688,RISCV
compose-post,112.29515075683594,RISCV
compose-post,177.3834228515625,RISCV
compose-post,110.38780212402344,RISCV
compose-post,187.87384033203125,RISCV
compose-post,102.996826171875,RISCV
compose-post,125.64659118652344,RISCV
compose-post,126.60026550292969,RISCV
compose-post,122.0703125,RISCV
compose-post,107.04994201660156,RISCV
compose-post,102.51998901367188,RISCV
compose-post,127.07710266113281,RISCV
compose-post,108.24203491210938,RISCV
compose-post,115.15617370605469,RISCV
compose-post,126.36184692382812,RISCV
compose-post,112.29515075683594,RISCV
compose-post,117.06352233886719,RISCV
compose-post,113.96408081054688,RISCV
compose-post,121.83189392089844,RISCV
compose-post,115.63301086425781,RISCV
compose-post,120.40138244628906,RISCV
compose-post,114.20249938964844,RISCV
compose-post,112.5335693359375,RISCV
compose-post,107.76519775390625,RISCV
compose-post,109.19570922851562,RISCV
compose-post,108.48045349121094,RISCV
compose-post,107.04994201660156,RISCV
compose-post,104.18891906738281,RISCV
compose-post,200.0,RISCV
compose-post,120.1629638671875,RISCV
compose-post,127.55393981933594,RISCV
compose-post,138.0443572998047,RISCV
compose-post,122.30873107910156,RISCV
compose-post,113.72566223144531,RISCV
compose-post,113.96408081054688,RISCV
compose-post,116.10984802246094,RISCV
compose-post,113.48724365234375,RISCV
compose-post,133.514404296875,RISCV
compose-post,124.21607971191406,RISCV
compose-post,114.44091796875,RISCV
compose-post,116.3482666015625,RISCV
compose-post,125.64659118652344,RISCV
compose-post,104.18891906738281,RISCV
compose-post,111.81831359863281,RISCV
compose-post,148.53477478027344,RISCV
compose-post,117.54035949707031,RISCV
compose-post,118.255615234375,RISCV
compose-post,122.0703125,RISCV
compose-post,149.72686767578125,RISCV
